Cancer type,Gene symbol,Uniprot ID,Differential expression status_up,Differential expression status_down,The number of tumor types_pccup,oncogene_x,COSMIC_CGC_x,Number of tumor types (PCDGs),oncogene_y,COSMIC_CGC_y,The number of tumor types_pccdp,Number of tumor types (PCCDPs),Risk coefficient
GBM,ITPKA,P23677,,Down,,,,,,,,,
COAD,ITPKB,P27987,,Down,,,,,,,,,
PAAD,ITPKB,P27987,Up,,,,,,,,,,
UCEC,ITPKB,P27987,,Down,,,,,,,,,
PAAD,ITPKC,Q96DU7,Up,,,,,,,,,,
COAD,ITPR1,Q14643,,Down,,,,,,,,,
ESCC,ITPR1,Q14643,,Down,,,,,,,,,
GBM,ITPR1,Q14643,,Down,,,,,,,,,
LUAD,ITPR1,Q14643,,Down,,,,,,,,,
LUSC,ITPR1,Q14643,,Down,,,,,,,,,
OV,ITPR1,Q14643,,Down,,,,,,,,,
UCEC,ITPR1,Q14643,,Down,,,,,,,,,
KIRC,ITPR2,Q14571,,Down,,,,,,,,,
HNSC,ITPR3,Q14573,Up,,,,,,,,2.0,,
OV,ITPR3,Q14573,Up,,,,,,,,2.0,,
PAAD,ITPR3,Q14573,Up,,,,,,,,2.0,,
KIRC,ITPRIP,Q8IWB1,Up,,,,,,,,,,
LIHC,ITPRIP,Q8IWB1,,Down,,,,,,,,,
LUAD,ITPRIP,Q8IWB1,,Down,,,,,,,,,
LIHC,ITSN1,Q15811,,Down,,,,,,,,,
GBM,ITSN2,Q9NZM3,,Down,,,,,,,,,
LUSC,ITSN2,Q9NZM3,,Down,,,,,,,,,
KIRC,IVD,P26440,,Down,,,,,,,,,
LIHC,IVD,P26440,,Down,,,,,,,,,
LUSC,IVD,P26440,,Down,,,,,,,,,
LUAD,IVL,P07476,Up,,,,,,,,,,
LUSC,IVL,P07476,Up,,,,,,,,,,
LUSC,IVNS1ABP,Q9Y6Y0,Up,,,,,,,,,,
UCEC,IVNS1ABP,Q9Y6Y0,Up,,,,,,,,,,
KIRC,IYD,Q6PHW0,,Down,,,,,,,,,
LIHC,IYD,Q6PHW0,,Down,,,,,,,,,
LUSC,JADE1,Q6IE81,,Down,,,,,,,,,
UCEC,JADE2,Q9NQC1,,Down,,,,,,,,,
ESCC,JAG1,P78504,Up,,,,,,,,,,
HNSC,JAG1,P78504,Up,,,,,,,,,,
LUSC,JAG1,P78504,Up,,,,,,,,,,
PAAD,JAG1,P78504,Up,,,,,,,,,,
ESCC,JAG2,Q9Y219,Up,,,,,,,,,,
LUSC,JAG2,Q9Y219,Up,,,,,,,,,,
GBM,JAGN1,Q8N5M9,Up,,,,,,,,,,
OV,JAGN1,Q8N5M9,Up,,,,,,,,,,
BRCA,JAK1,P23458,,Down,,,,,,,,,
LUSC,JAK1,P23458,,Down,,,,,,,,,
OV,JAK1,P23458,,Down,,,,,,,,,
LUAD,JAK2,O60674,,Down,,,,,,,,,
LUSC,JAK2,O60674,,Down,,,,,,,,,
KIRC,JAK3,P52333,Up,,,,,,,,,,
GBM,JAKMIP1,Q96N16,,Down,,,,,,,,,
GBM,JAKMIP3,Q5VZ66,,Down,,,,,,,,,
ESCC,JAM2,P57087,,Down,,,,,,,,,
LUAD,JAM2,P57087,,Down,,,,,,,,,
LUSC,JAM2,P57087,,Down,,,,,,,,,
UCEC,JAM2,P57087,,Down,,,,,,,,,
COAD,JAM3,Q9BX67,,Down,,,,,,,,,
ESCC,JAM3,Q9BX67,,Down,,,,,,,,,
LUAD,JAM3,Q9BX67,,Down,,,,,,,,,
LUSC,JAM3,Q9BX67,,Down,,,,,,,,,
OV,JAM3,Q9BX67,,Down,,,,,,,,,
PAAD,JAM3,Q9BX67,Up,,,,,,,,,,
UCEC,JAM3,Q9BX67,,Down,,,,,,,,,
LUSC,JARID2,Q92833,Up,,,,,,,,,,
BRCA,JCHAIN,P01591,,Down,,,,,,,,,
COAD,JCHAIN,P01591,,Down,,,,,,,,,
ESCC,JCHAIN,P01591,,Down,,,,,,,,,
HNSC,JCHAIN,P01591,,Down,,,,,,,,,
LIHC,JCHAIN,P01591,,Down,,,,,,,,,
LUSC,JCHAIN,P01591,,Down,,,,,,,,,
PAAD,JCHAIN,P01591,Up,,,,,,,,,,
STAD,JCHAIN,P01591,,Down,,,,,,,,,
KIRC,JMJD6,Q6NYC1,Up,,,,,,,,,,
LUAD,JMJD7,P0C870,,Down,,,,,,,,2.0,
UCEC,JMY,Q8N9B5,,Down,,,,,,,,,
GBM,JPH1,Q9HDC5,,Down,,,,,,,,,
LUAD,JPH1,Q9HDC5,,Down,,,,,,,,,
COAD,JPH2,Q9BR39,,Down,,,,,,,,,
ESCC,JPH2,Q9BR39,,Down,,,,,,,,,
KIRC,JPH2,Q9BR39,Up,,,,,,,,,,
LUAD,JPH2,Q9BR39,,Down,,,,,,,,,
LUSC,JPH2,Q9BR39,,Down,,,,,,,,,
OV,JPH2,Q9BR39,,Down,,,,,,,,,
UCEC,JPH2,Q9BR39,,Down,,,,,,,,,
LUAD,JSRP1,Q96MG2,Up,,,,,,,,,,
LUSC,JSRP1,Q96MG2,Up,,,,,,,,,,
BRCA,JTB,O76095,Up,,,,,,,,,,
UCEC,JTB,O76095,Up,,,,,,,,,,
UCEC,JUN,P05412,,Down,,,,,,,,,
GBM,JUNB,P17275,Up,,,,,,,,,,
PAAD,JUNB,P17275,Up,,,,,,,,,,
UCEC,JUND,P17535,,Down,,,,,,,,,
LUAD,JUP,P14923,Up,,,,,,,,,,
LUSC,JUP,P14923,Up,,,,,,,,,,
UCEC,JUP,P14923,Up,,,,,,,,,,
ESCC,KALRN,O60229,,Down,,,,,,,,,
GBM,KALRN,O60229,,Down,,,,,,,,,
LIHC,KALRN,O60229,,Down,,,,,,,,,
UCEC,KALRN,O60229,,Down,,,,,,,,,
BRCA,KANK1,Q14678,,Down,,,,,,,,,
HNSC,KANK1,Q14678,,Down,,,,,,,,,
LUAD,KANK1,Q14678,,Down,,,,,,,,,
PAAD,KANK1,Q14678,,Down,,,,,,,,,
UCEC,KANK1,Q14678,,Down,,,,,,,,,
BRCA,KANK2,Q63ZY3,,Down,,,,,,,,,
COAD,KANK2,Q63ZY3,,Down,,,,,,,,,
ESCC,KANK2,Q63ZY3,,Down,,,,,,,,,
LUAD,KANK2,Q63ZY3,,Down,,,,,,,,,
LUSC,KANK2,Q63ZY3,,Down,,,,,,,,,
OV,KANK2,Q63ZY3,,Down,,,,,,,,,
UCEC,KANK2,Q63ZY3,,Down,,,,,,,,,
BRCA,KANK3,Q6NY19,,Down,,,,,,,,,
COAD,KANK3,Q6NY19,,Down,,,,,,,,,
HNSC,KANK3,Q6NY19,,Down,,,,,,,,,
LUAD,KANK3,Q6NY19,,Down,,,,,,,,,
LUSC,KANK3,Q6NY19,,Down,,,,,,,,,
OV,KANK3,Q6NY19,,Down,,,,,,,,,
UCEC,KANK3,Q6NY19,,Down,,,,,,,,,
BRCA,KANK4,Q5T7N3,,Down,,,,,,,,,
KIRC,KANK4,Q5T7N3,,Down,,,,,,,,,
LUAD,KANK4,Q5T7N3,,Down,,,,,,,,,
PAAD,KANK4,Q5T7N3,,Down,,,,,,,,,
LUSC,KANSL2,Q9H9L4,Up,,,,,,,,,,
LUAD,KAT2A,Q92830,Up,,,,,,,,,,
LUSC,KAT2A,Q92830,Up,,,,,,,,,,
LUSC,KATNAL1,Q9BW62,,Down,,,,,,,,,
PAAD,KATNAL1,Q9BW62,Up,,,,,,,,,,
PAAD,KATNAL2,Q8IYT4,,Down,,,,,,,,,
GBM,KATNB1,Q9BVA0,,Down,,,,,,,,,
HNSC,KAZN,Q674X7,,Down,,,,,,,,,
LUAD,KAZN,Q674X7,,Down,,,,,,,,,
UCEC,KAZN,Q674X7,Up,,,,,,,,,,
COAD,KBTBD11,O94819,,Down,,,,8.0,No,,,,
ESCC,KBTBD11,O94819,,Down,,,,8.0,No,,,,
GBM,KBTBD11,O94819,,Down,,,,8.0,No,,,,
HNSC,KBTBD11,O94819,,Down,,,,8.0,No,,,,
LIHC,KBTBD11,O94819,,Down,,,,8.0,No,,,,
LUSC,KBTBD11,O94819,,Down,,,,8.0,No,,,,
OV,KBTBD11,O94819,,Down,,,,8.0,No,,,,
UCEC,KBTBD11,O94819,,Down,,,,8.0,No,,,,
PAAD,KBTBD2,Q8IY47,Up,,,,,,,,,,
OV,KCMF1,Q9P0J7,Up,,,,,,,,,,
GBM,KCNA1,Q09470,,Down,,,,,,,,,
GBM,KCNA2,P16389,,Down,,,,,,,,,
GBM,KCNA4,P22459,,Down,,,,,,,,,
LIHC,KCNAB1,Q14722,,Down,,,,,,,,,
LUAD,KCNAB1,Q14722,,Down,,,,,,,,,
LUSC,KCNAB1,Q14722,,Down,,,,,,,,,
GBM,KCNAB2,Q13303,,Down,,,,,,,,,
LUAD,KCNAB2,Q13303,,Down,,,,,,,,,
LUSC,KCNAB2,Q13303,,Down,,,,,,,,,
PAAD,KCNAB2,Q13303,Up,,,,,,,,,,
GBM,KCNB1,Q14721,,Down,,,,,,,,,
GBM,KCNC4,Q03721,,Down,,,,,,,,,
GBM,KCND3,Q9UK17,,Down,,,,,,,,,
STAD,KCNE2,Q9Y6J6,,Down,,,,,,,,,
GBM,KCNIP3,Q9Y2W7,,Down,,,,,,,,,
GBM,KCNIP4,Q6PIL6,,Down,,,,,,,,,
KIRC,KCNJ10,P78508,,Down,,,,,,,,,
KIRC,KCNJ15,Q99712,,Down,,,,,,,,,
LUSC,KCNJ15,Q99712,,Down,,,,,,,,,
KIRC,KCNJ16,Q9NPI9,,Down,,,,,,,,,
GBM,KCNJ3,P48549,,Down,,,,,,,,,
PAAD,KCNJ5,P48544,,Down,,,,,,,,,
GBM,KCNJ6,P48051,,Down,,,,,,,,,
LIHC,KCNJ8,Q15842,,Down,,,,,,,,,
GBM,KCNJ9,Q92806,,Down,,,,,,,,,
GBM,KCNK1,O00180,,Down,,,,,,,,,
COAD,KCNMA1,Q12791,,Down,,,,,,,,,
ESCC,KCNMA1,Q12791,,Down,,,,,,,,,
GBM,KCNMA1,Q12791,,Down,,,,,,,,,
UCEC,KCNMA1,Q12791,,Down,,,,,,,,,
COAD,KCNMB1,Q16558,,Down,,,,,,,,,
ESCC,KCNMB1,Q16558,,Down,,,,,,,,,
GBM,KCNMB4,Q86W47,,Down,,,,,,,,,
GBM,KCNN3,Q9UGI6,Up,,,,,,,,,,
COAD,KCNN4,O15554,Up,,,,,,,,,,
GBM,KCNQ2,O43526,,Down,,,,,,,,,
GBM,KCNQ5,Q9NR82,,Down,,,,,,,,,
UCEC,KCP,Q6ZWJ8,Up,,,,,,,,,,
KIRC,KCTD1,Q719H9,,Down,,,,,,,,,
LUSC,KCTD1,Q719H9,Up,,,,,,,,,,
PAAD,KCTD10,Q9H3F6,Up,,,,,,,,,,
UCEC,KCTD10,Q9H3F6,,Down,,,,,,,,,
BRCA,KCTD12,Q96CX2,,Down,,,,,,,,,
COAD,KCTD12,Q96CX2,,Down,,,,,,,,,
LUAD,KCTD12,Q96CX2,,Down,,,,,,,,,
LUSC,KCTD12,Q96CX2,,Down,,,,,,,,,
UCEC,KCTD12,Q96CX2,,Down,,,,,,,,,
LUSC,KCTD14,Q9BQ13,,Down,,,,,,,,,
PAAD,KCTD14,Q9BQ13,,Down,,,,,,,,,
UCEC,KCTD14,Q9BQ13,Up,,,,,,,,,,
ESCC,KCTD15,Q96SI1,Up,,,,,,,,,,
LUSC,KCTD15,Q96SI1,Up,,,,,,,,,,
GBM,KCTD16,Q68DU8,,Down,,,,,,,,,
LUSC,KCTD16,Q68DU8,,Down,,,,,,,,,
PAAD,KCTD20,Q7Z5Y7,Up,,,,,,,,,,
BRCA,KCTD21,Q4G0X4,Up,,,,,,,,,,
BRCA,KCTD3,Q9Y597,Up,,,,,,,,,,
GBM,KCTD3,Q9Y597,Up,,,,,,,,,,
KIRC,KCTD3,Q9Y597,Up,,,,,,,,,,
GBM,KCTD4,Q8WVF5,,Down,,,,,,,,,
BRCA,KCTD5,Q9NXV2,Up,,,,,,,,,,
GBM,KCTD5,Q9NXV2,Up,,,,,,,,,,
LUAD,KCTD5,Q9NXV2,Up,,,,,,,,,,
LUSC,KCTD5,Q9NXV2,Up,,,,,,,,,,
PAAD,KCTD5,Q9NXV2,Up,,,,,,,,,,
KIRC,KCTD6,Q8NC69,,Down,,,,,,,,,
GBM,KCTD8,Q6ZWB6,,Down,,,,,,,,,
COAD,KCTD9,Q7L273,,Down,,,,,,,,,
LIHC,KDELR3,O43731,Up,,,,,,,,,,
BRCA,KDF1,Q8NAX2,Up,,,,,,,,,,
LUAD,KDF1,Q8NAX2,Up,,,,,,,,,,
LUSC,KDF1,Q8NAX2,Up,,,,,,,,,,
UCEC,KDF1,Q8NAX2,Up,,,,,,,,,,
COAD,KDM1A,O60341,Up,,,,,,,,,,
ESCC,KDM1A,O60341,Up,,,,,,,,,,
LUSC,KDM1A,O60341,Up,,,,,,,,,,
UCEC,KDM1A,O60341,Up,,,,,,,,,,
LUSC,KDM3A,Q9Y4C1,Up,,,,,,,,,,
BRCA,KDM4B,O94953,Up,,,,,,,,,,
GBM,KDM5A,P29375,Up,,,,,,,,,,
LUAD,KDM5B,Q9UGL1,Up,,,,,,,,,,
LUSC,KDM5B,Q9UGL1,Up,,,,,,,,,,
PAAD,KDM5B,Q9UGL1,Up,,,,,,,,,,
UCEC,KDM5B,Q9UGL1,Up,,,,,,,,,,
LUAD,KDM6B,O15054,,Down,,,,,,,,,
LUSC,KDM6B,O15054,,Down,,,,,,,,,
LIHC,KDM8,Q8N371,,Down,,,,,,,,,
LUAD,KDR,P35968,,Down,,,,,,,,,
LUSC,KDR,P35968,,Down,,,,,,,,,
LIHC,KDSR,Q06136,,Down,,,,,,,,,
LUSC,KEAP1,Q14145,Up,,,,,,,,,,
HNSC,KHDC1L,Q5JSQ8,Up,,,,,,,,,,
LUAD,KHDRBS2,Q5VWX1,,Down,,,,,,,,,
LUSC,KHDRBS2,Q5VWX1,,Down,,,,,,,,,
COAD,KHDRBS3,O75525,Up,,,,,,,,,,
LIHC,KHK,P50053,,Down,,,,,,,,,
UCEC,KHK,P50053,,Down,,,,,,,,,
COAD,KHSRP,Q92945,Up,,,,,,,,,,
ESCC,KHSRP,Q92945,Up,,,,,,,,,,
GBM,KHSRP,Q92945,Up,,,,,,,,,,
LUSC,KHSRP,Q92945,Up,,,,,,,,,,
GBM,KIAA0040,Q15053,Up,,,,,,,,,,
LUSC,KIAA0040,Q15053,,Down,,,,,,,,,
BRCA,KIAA0408,Q6ZU52,,Down,,,,,,,,,
COAD,KIAA0408,Q6ZU52,,Down,,,,,,,,,
ESCC,KIAA0408,Q6ZU52,,Down,,,,,,,,,
LUAD,KIAA0408,Q6ZU52,,Down,,,,,,,,,
LUSC,KIAA0408,Q6ZU52,,Down,,,,,,,,,
GBM,KIAA0513,O60268,,Down,,,,,,,,,
LUSC,KIAA0513,O60268,,Down,,,,,,,,,
PAAD,KIAA0513,O60268,,Down,,,,,,,,,
ESCC,KIAA0930,Q6ICG6,Up,,,,,,,,,,
HNSC,KIAA0930,Q6ICG6,Up,,,,,,,,,,
KIRC,KIAA0930,Q6ICG6,Up,,,,,,,,,,
PAAD,KIAA0930,Q6ICG6,Up,,,,,,,,,,
GBM,KIAA1107,Q9UPP5,,Down,,,,,,,,,
GBM,KIAA1109,Q2LD37,,Down,,,,,,,,,
KIRC,KIAA1109,Q2LD37,,Down,,,,,,,,,
LUSC,KIAA1109,Q2LD37,,Down,,,,,,,,,
GBM,KIAA1143,Q96AT1,Up,,,,,,,,,,
UCEC,KIAA1143,Q96AT1,,Down,,,,,,,,,
GBM,KIAA1217,Q5T5P2,,Down,,,,,,,,,
LIHC,KIAA1217,Q5T5P2,,Down,,,,,,,,,
OV,KIAA1217,Q5T5P2,Up,,,,,,,,,,
UCEC,KIAA1217,Q5T5P2,Up,,,,,,,,,,
LUSC,KIAA1328,Q86T90,,Down,,,,,,,,,
COAD,KIAA1522,Q9P206,,Down,,,,,,,,,
KIRC,KIAA1522,Q9P206,,Down,,,,,,,,,
LIHC,KIAA1522,Q9P206,Up,,,,,,,,,,
UCEC,KIAA1522,Q9P206,Up,,,,,,,,,,
GBM,KIAA1549L,Q6ZVL6,,Down,,,,,,,,,
GBM,KIAA1671,Q9BY89,,Down,,,,,,,,,
GBM,KIAA1841,Q6NSI8,,Down,,,,,,,,,
GBM,KIAA2013,Q8IYS2,Up,,,,,,,,,,
UCEC,KIAA2013,Q8IYS2,Up,,,,,,,,,,
BRCA,KIF11,P52732,Up,,9.0,No,,,,,,,
COAD,KIF11,P52732,Up,,9.0,No,,,,,,,
ESCC,KIF11,P52732,Up,,9.0,No,,,,,,,
HNSC,KIF11,P52732,Up,,9.0,No,,,,,,,
LIHC,KIF11,P52732,Up,,9.0,No,,,,,,,
LUAD,KIF11,P52732,Up,,9.0,No,,,,,,,
LUSC,KIF11,P52732,Up,,9.0,No,,,,,,,
OV,KIF11,P52732,Up,,9.0,No,,,,,,,
UCEC,KIF11,P52732,Up,,9.0,No,,,,,,,
BRCA,KIF13A,Q9H1H9,,Down,,,,,,,,,
OV,KIF13A,Q9H1H9,,Down,,,,,,,,,
PAAD,KIF13A,Q9H1H9,Up,,,,,,,,,,
UCEC,KIF13A,Q9H1H9,,Down,,,,,,,,,
COAD,KIF13B,Q9NQT8,,Down,,,,,,,,,
HNSC,KIF13B,Q9NQT8,,Down,,,,,,,,,
LUSC,KIF13B,Q9NQT8,,Down,,,,,,,,,
OV,KIF13B,Q9NQT8,,Down,,,,,,,,,
LUAD,KIF14,Q15058,Up,,,,,,,,,,
LUSC,KIF14,Q15058,Up,,,,,,,,,,
ESCC,KIF15,Q9NS87,Up,,,,,,,,,,
HNSC,KIF15,Q9NS87,Up,,,,,,,,,,
LUAD,KIF15,Q9NS87,Up,,,,,,,,,,
LUSC,KIF15,Q9NS87,Up,,,,,,,,,,
UCEC,KIF15,Q9NS87,Up,,,,,,,,,,
HNSC,KIF17,Q9P2E2,Up,,,,,,,,,,
LUSC,KIF18A,Q8NI77,Up,,,,,,,,,,
GBM,KIF18B,Q86Y91,Up,,,,,,,,,,
PAAD,KIF18B,Q86Y91,Up,,,,,,,,,,
GBM,KIF1A,Q12756,,Down,,,,,,,,,
PAAD,KIF1A,Q12756,,Down,,,,,,,,,
UCEC,KIF1A,Q12756,Up,,,,,,,,,,
COAD,KIF1C,O43896,,Down,,,,,,,,,
ESCC,KIF1C,O43896,,Down,,,,,,,,,
HNSC,KIF1C,O43896,,Down,,,,,,,,,
KIRC,KIF1C,O43896,,Down,,,,,,,,,
LUAD,KIF1C,O43896,,Down,,,,,,,,,
LUSC,KIF1C,O43896,,Down,,,,,,,,,
ESCC,KIF20A,O95235,Up,,,,,,,,,,
GBM,KIF20A,O95235,Up,,,,,,,,,,
HNSC,KIF20A,O95235,Up,,,,,,,,,,
LUSC,KIF20A,O95235,Up,,,,,,,,,,
UCEC,KIF20A,O95235,Up,,,,,,,,,,
HNSC,KIF20B,Q96Q89,Up,,,,,,,,,,
LUSC,KIF20B,Q96Q89,Up,,,,,,,,,,
UCEC,KIF20B,Q96Q89,Up,,,,,,,,,,
BRCA,KIF21A,Q7Z4S6,Up,,,,,,,,,,
HNSC,KIF21A,Q7Z4S6,,Down,,,,,,,,,
LUSC,KIF21A,Q7Z4S6,Up,,,,,,,,,,
GBM,KIF21B,O75037,,Down,,,,,,,,,
LUSC,KIF21B,O75037,,Down,,,,,,,,,
ESCC,KIF22,Q14807,Up,,,,,,,,,,
HNSC,KIF22,Q14807,Up,,,,,,,,,,
LUSC,KIF22,Q14807,Up,,,,,,,,,,
STAD,KIF22,Q14807,Up,,,,,,,,,,
UCEC,KIF22,Q14807,Up,,,,,,,,,,
COAD,KIF23,Q02241,Up,,10.0,No,,,,,,,
ESCC,KIF23,Q02241,Up,,10.0,No,,,,,,,
GBM,KIF23,Q02241,Up,,10.0,No,,,,,,,
HNSC,KIF23,Q02241,Up,,10.0,No,,,,,,,
KIRC,KIF23,Q02241,Up,,10.0,No,,,,,,,
LIHC,KIF23,Q02241,Up,,10.0,No,,,,,,,
LUAD,KIF23,Q02241,Up,,10.0,No,,,,,,,
LUSC,KIF23,Q02241,Up,,10.0,No,,,,,,,
OV,KIF23,Q02241,Up,,10.0,No,,,,,,,
PAAD,KIF23,Q02241,Up,,10.0,No,,,,,,,
LUSC,KIF26B,Q2KJY2,Up,,,,,,,,,,
UCEC,KIF2A,O00139,Up,,,,,,,,,,
BRCA,KIF2C,Q99661,Up,,11.0,No,,,,,,,
COAD,KIF2C,Q99661,Up,,11.0,No,,,,,,,
ESCC,KIF2C,Q99661,Up,,11.0,No,,,,,,,
GBM,KIF2C,Q99661,Up,,11.0,No,,,,,,,
HNSC,KIF2C,Q99661,Up,,11.0,No,,,,,,,
KIRC,KIF2C,Q99661,Up,,11.0,No,,,,,,,
LIHC,KIF2C,Q99661,Up,,11.0,No,,,,,,,
LUAD,KIF2C,Q99661,Up,,11.0,No,,,,,,,
LUSC,KIF2C,Q99661,Up,,11.0,No,,,,,,,
STAD,KIF2C,Q99661,Up,,11.0,No,,,,,,,
UCEC,KIF2C,Q99661,Up,,11.0,No,,,,,,,
GBM,KIF3A,Q9Y496,,Down,,,,,,,,,
LIHC,KIF3A,Q9Y496,Up,,,,,,,,,,
GBM,KIF3B,O15066,,Down,,,,,,,,,
GBM,KIF3C,O14782,,Down,,,,,,,,,
LUSC,KIF3C,O14782,Up,,,,,,,,,,
BRCA,KIF4A,O95239,Up,,9.0,No,,,,,,,
COAD,KIF4A,O95239,Up,,9.0,No,,,,,,,
ESCC,KIF4A,O95239,Up,,9.0,No,,,,,,,
HNSC,KIF4A,O95239,Up,,9.0,No,,,,,,,
LIHC,KIF4A,O95239,Up,,9.0,No,,,,,,,
LUAD,KIF4A,O95239,Up,,9.0,No,,,,,,,
LUSC,KIF4A,O95239,Up,,9.0,No,,,,,,,
STAD,KIF4A,O95239,Up,,9.0,No,,,,,,,
UCEC,KIF4A,O95239,Up,,9.0,No,,,,,,,
HNSC,KIF4B,Q2VIQ3,Up,,,,,,,,,,
LIHC,KIF4B,Q2VIQ3,Up,,,,,,,,,,
LUAD,KIF4B,Q2VIQ3,Up,,,,,,,,,,
GBM,KIF5A,Q12840,,Down,,,,,,,,,
ESCC,KIF5C,O60282,,Down,,,,,,,,,
GBM,KIF5C,O60282,,Down,,,,,,,,,
HNSC,KIF7,Q2M1P5,Up,,,,,,,,,,
LUAD,KIF7,Q2M1P5,Up,,,,,,,,,,
LUSC,KIF7,Q2M1P5,Up,,,,,,,,,,
PAAD,KIF7,Q2M1P5,Up,,,,,,,,,,
UCEC,KIF7,Q2M1P5,,Down,,,,,,,,,
ESCC,KIFAP3,Q92845,Up,,,,,,,,,,
BRCA,KIFC1,Q9BW19,Up,,,,,,,,,,
ESCC,KIFC1,Q9BW19,Up,,,,,,,,,,
LIHC,KIFC1,Q9BW19,Up,,,,,,,,,,
LUAD,KIFC1,Q9BW19,Up,,,,,,,,,,
LUSC,KIFC1,Q9BW19,Up,,,,,,,,,,
STAD,KIFC1,Q9BW19,Up,,,,,,,,,,
UCEC,KIFC1,Q9BW19,Up,,,,,,,,,,
ESCC,KIFC2,Q96AC6,Up,,,,,,,,,,
GBM,KIFC2,Q96AC6,,Down,,,,,,,,,
LUSC,KIFC3,Q9BVG8,,Down,,,,,,,,,
BRCA,KIT,P10721,,Down,,,,,,,,,
COAD,KIT,P10721,,Down,,,,,,,,,
ESCC,KIT,P10721,,Down,,,,,,,,,
LUSC,KIT,P10721,,Down,,,,,,,,,
HNSC,KIZ,Q2M2Z5,Up,,,,,,,,,,
UCEC,KL,Q9UEF7,,Down,,,,,,,,,
ESCC,KLC2,Q9H0B6,Up,,,,,,,,,,
GBM,KLC2,Q9H0B6,,Down,,,,,,,,,
LIHC,KLC2,Q9H0B6,Up,,,,,,,,,,
LUAD,KLC2,Q9H0B6,Up,,,,,,,,,,
KIRC,KLC3,Q6P597,,Down,,,,,,,,,
LUAD,KLC3,Q6P597,Up,,,,,,,,,,
LUSC,KLC3,Q6P597,Up,,,,,,,,,,
UCEC,KLC3,Q6P597,Up,,,,,,,,,,
COAD,KLC4,Q9NSK0,,Down,,,,,,,,,
LUSC,KLF2,Q9Y5W3,,Down,,,,,,,,,
HNSC,KLF4,O43474,,Down,,,,,,,,,
HNSC,KLF5,Q13887,,Down,,,,,,,,,
KIRC,KLF5,Q13887,,Down,,,,,,,,,
LUSC,KLF5,Q13887,Up,,,,,,,,,,
UCEC,KLF5,Q13887,Up,,,,,,,,,,
LUSC,KLF6,Q99612,,Down,,,,,,,,,
PAAD,KLHDC4,Q8TBB5,,Down,,,,,,,,,
BRCA,KLHDC7A,Q5VTJ3,Up,,,,,,,,,,
ESCC,KLHDC7A,Q5VTJ3,,Down,,,,,,,,,
KIRC,KLHDC7A,Q5VTJ3,,Down,,,,,,,,,
ESCC,KLHDC7B,Q96G42,Up,,,,,,,,,,
HNSC,KLHDC8B,Q8IXV7,,Down,,,,,,,,,
KIRC,KLHL11,Q9NVR0,,Down,,,,,,,,,
KIRC,KLHL13,Q9P2N7,,Down,,,,,,,,,
UCEC,KLHL13,Q9P2N7,,Down,,,,,,,,,
OV,KLHL14,Q9P2G3,Up,,,,,,,,,,
UCEC,KLHL14,Q9P2G3,Up,,,,,,,,,,
LIHC,KLHL15,Q96M94,,Down,,,,,,,,,
UCEC,KLHL20,Q9Y2M5,,Down,,,,,,,,,
ESCC,KLHL25,Q9H0H3,,Down,,,,,,,,,
KIRC,KLHL3,Q9UH77,,Down,,,,,,,,,
UCEC,KLHL36,Q8N4N3,,Down,,,,,,,,,
LUSC,KLHL41,O60662,,Down,,,,,,,,,
HNSC,KLHL6,Q8WZ60,Up,,,,,,,,,,
LUSC,KLHL7,Q8IXQ5,Up,,,,,,,,,,
LIHC,KLHL8,Q9P2G9,,Down,,,,,,,,,
COAD,KLK1,P06870,,Down,,,,,,,,,
PAAD,KLK1,P06870,,Down,,,,,,,,,
PAAD,KLK10,O43240,Up,,,,,,,,,,
HNSC,KLK11,Q9UBX7,,Down,,,,,,,,,
HNSC,KLK12,Q9UKR0,,Down,,,,,,,,,
HNSC,KLK13,Q9UKR3,,Down,,,,,,,,,
BRCA,KLK14,Q9P0G3,Up,,,,,,,,,,
LUAD,KLK15,Q9H2R5,Up,,,,,,,,,,
LUSC,KLK15,Q9H2R5,Up,,,,,,,,,,
PAAD,KLK6,Q92876,Up,,,,,,,,,,
PAAD,KLK7,P49862,Up,,,,,,,,,,
PAAD,KLK8,O60259,Up,,,,,,,,,,
COAD,KLKB1,P03952,,Down,,,,,,,,,
ESCC,KLKB1,P03952,,Down,,,,,,,,,
LIHC,KLKB1,P03952,,Down,,,,,,,,,
LUSC,KLKB1,P03952,,Down,,,,,,,,,
OV,KLKB1,P03952,,Down,,,,,,,,,
LUAD,KLRG2,A4D1S0,,Down,,,,,,,,,
BRCA,KMO,O15229,Up,,,,,,,,,,
LIHC,KMO,O15229,,Down,,,,,,,,,
LUAD,KMO,O15229,,Down,,,,,,,,,
LUSC,KMO,O15229,,Down,,,,,,,,,
LUSC,KMT2B,Q9UMN6,Up,,,,,,,,,,
GBM,KNDC1,Q76NI1,,Down,,,,,,,,,
COAD,KNG1,P01042,,Down,,,,,,,,,
OV,KNG1,P01042,,Down,,,,,,,,,
BRCA,KNOP1,Q1ED39,Up,,,,,,,,,,
LIHC,KNOP1,Q1ED39,Up,,,,,,,,,,
LUAD,KNOP1,Q1ED39,Up,,,,,,,,,,
LUSC,KNOP1,Q1ED39,Up,,,,,,,,,,
STAD,KNOP1,Q1ED39,Up,,,,,,,,,,
UCEC,KNOP1,Q1ED39,Up,,,,,,,,,,
